# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	16884	18257	-	QPZ79456.1			Trk system potassium transporter TrkA	trkA		MPAO1_00080	1374	457	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	18285	19589	-							MPAO1_00085	1305		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	18285	19589	-	QPZ79457.1			ribosomal RNA small subunit methyltransferase B			MPAO1_00085	1305	434	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	19586	20530	-							MPAO1_00090	945		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	19586	20530	-	QPZ79458.1			methionyl-tRNA formyltransferase			MPAO1_00090	945	314	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	20585	21091	-							MPAO1_00095	507		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	20585	21091	-	QPZ79459.1			peptide deformylase			MPAO1_00095	507	168	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	21230	22255	+							MPAO1_00100	1026		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	21230	22255	+	QPZ79460.1			LysM peptidoglycan-binding domain-containing protein			MPAO1_00100	1026	341	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	22390	23478	+					dprA		MPAO1_00105	1089		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	22390	23478	+	QPZ79461.1			DNA-protecting protein DprA	dprA		MPAO1_00105	1089	362	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	23519	24076	+							MPAO1_00110	558		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	23519	24076	+	QPZ79462.1			threonylcarbamoyl-AMP synthase			MPAO1_00110	558	185	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	24086	25063	-							MPAO1_00115	978		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	24086	25063	-	QPZ79463.1			quinone oxidoreductase			MPAO1_00115	978	325	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	25254	26171	+							MPAO1_00120	918		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	25254	26171	+	QPZ79464.1			coproporphyrinogen III oxidase			MPAO1_00120	918	305	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	26229	27053	+							MPAO1_00125	825		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	26229	27053	+	QPZ79465.1			shikimate dehydrogenase			MPAO1_00125	825	274	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	27164	28150	+							MPAO1_00130	987		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	27164	28150	+	QPZ79466.1			phospholipase C			MPAO1_00130	987	328	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	28131	29417	+							MPAO1_00135	1287		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	28131	29417	+	QPZ79467.1			peptidylprolyl isomerase			MPAO1_00135	1287	428	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	29414	30016	+							MPAO1_00140	603		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	29414	30016	+	QPZ79468.1			hypothetical protein			MPAO1_00140	603	200	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	30020	31573	-							MPAO1_00145	1554		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	30020	31573	-	QPZ79469.1			SulP family inorganic anion transporter			MPAO1_00145	1554	517	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	31578	32501	-					choX		MPAO1_00150	924		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	31578	32501	-	QPZ79470.1			choline ABC transporter substrate-binding protein	choX		MPAO1_00150	924	307	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	32518	34029	-					betC		MPAO1_00155	1512		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	32518	34029	-	QPZ79471.1			choline-sulfatase	betC		MPAO1_00155	1512	503	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	34142	35056	+							MPAO1_00160	915		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	34142	35056	+	QPZ79472.1			LysR family transcriptional regulator			MPAO1_00160	915	304	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	35067	35444	+							MPAO1_00165	378		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	35067	35444	+	QPZ79473.1			DOPA 4,5-dioxygenase			MPAO1_00165	378	125	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	35423	35788	-							MPAO1_00170	366		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	35423	35788	-	QPZ79474.1			Hpt domain-containing protein			MPAO1_00170	366	121	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	35796	36419	-							MPAO1_00175	624		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	35796	36419	-	QPZ79475.1			DNA-binding response regulator			MPAO1_00175	624	207	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	36605	37411	-							MPAO1_00180	807		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	36605	37411	-	QPZ79476.1			tryptophan synthase subunit alpha			MPAO1_00180	807	268	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	37408	38616	-					trpB		MPAO1_00185	1209		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	37408	38616	-	QPZ79477.1			tryptophan synthase subunit beta	trpB		MPAO1_00185	1209	402	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	38720	39607	+							MPAO1_00190	888		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	38720	39607	+	QPZ79478.1			transcriptional regulator			MPAO1_00190	888	295	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	39708	39923	+							MPAO1_00195	216		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	39708	39923	+	QPZ79479.1			dodecin flavoprotein			MPAO1_00195	216	71	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	40107	40334	+							MPAO1_00200	228		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	40107	40334	+	QPZ79480.1			DUF1161 domain-containing protein			MPAO1_00200	228	75	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	40631	42319	+							MPAO1_00205	1689		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	40631	42319	+	QPZ79481.1			ShlB/FhaC/HecB family hemolysin secretion/activation protein			MPAO1_00205	1689	562	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	42432	53039	+							MPAO1_00210	10608		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	42432	53039	+	QPZ79482.1			filamentous hemagglutinin N-terminal domain-containing protein			MPAO1_00210	10608	3535	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	53042	53296	+							MPAO1_00215	255		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	53042	53296	+	QPZ79483.1			hypothetical protein			MPAO1_00215	255	84	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	53639	54340	+							MPAO1_00220	702		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	53639	54340	+	QPZ79484.1			transposase			MPAO1_00220	702	233	
gene	pseudogene	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	54357	54551	+							MPAO1_00225	195		pseudo
CDS	without_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	54357	54551	+				transposase			MPAO1_00225	195		pseudo
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	54607	54843	+							MPAO1_00230	237		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	54607	54843	+	QPZ79485.1			hypothetical protein			MPAO1_00230	237	78	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	55030	55275	+							MPAO1_00235	246		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	55030	55275	+	QPZ79486.1			hypothetical protein			MPAO1_00235	246	81	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	55272	55592	+							MPAO1_00240	321		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	55272	55592	+	QPZ79487.1			hypothetical protein			MPAO1_00240	321	106	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	55687	55965	+							MPAO1_00245	279		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	55687	55965	+	QPZ79488.1			transposase			MPAO1_00245	279	92	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	56064	56459	+							MPAO1_00250	396		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	56064	56459	+	QPZ79489.1			hypothetical protein			MPAO1_00250	396	131	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	56473	56733	-							MPAO1_00255	261		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	56473	56733	-	QPZ79490.1			hypothetical protein			MPAO1_00255	261	86	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	56730	58112	-							MPAO1_00260	1383		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	56730	58112	-	QPZ79491.1			DUF4010 domain-containing protein			MPAO1_00260	1383	460	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	58304	59677	+							MPAO1_00265	1374		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	58304	59677	+	QPZ79492.1			exoenzyme T			MPAO1_00265	1374	457	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	60174	60860	+							MPAO1_00270	687		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	60174	60860	+	QPZ79493.1			curli production assembly protein CsgG			MPAO1_00270	687	228	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	60891	61244	+							MPAO1_00275	354		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	60891	61244	+	QPZ79494.1			DUF4810 domain-containing protein			MPAO1_00275	354	117	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	61241	61906	+							MPAO1_00280	666		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	61241	61906	+	QPZ79495.1			hypothetical protein			MPAO1_00280	666	221	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	61921	62304	-							MPAO1_00285	384		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	61921	62304	-	QPZ79496.1			XRE family transcriptional regulator			MPAO1_00285	384	127	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	62586	64247	-							MPAO1_00290	1662		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	62586	64247	-	QPZ79497.1			hypothetical protein			MPAO1_00290	1662	553	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	64857	64997	+							MPAO1_00295	141		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	64857	64997	+	QPZ79498.1			hypothetical protein			MPAO1_00295	141	46	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	65821	67653	+					asnB		MPAO1_00300	1833		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	65821	67653	+	QPZ79499.1			asparagine synthase (glutamine-hydrolyzing)	asnB		MPAO1_00300	1833	610	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	67706	68134	-							MPAO1_00305	429		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	67706	68134	-	QPZ79500.1			cupin domain-containing protein			MPAO1_00305	429	142	
gene	pseudogene	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	68574	69044	+							MPAO1_00310	471		pseudo
CDS	without_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	68574	69044	+				type II toxin-antitoxin system death-on-curing family toxin			MPAO1_00310	471		pseudo
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	69061	69609	-							MPAO1_00315	549		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	69061	69609	-	QPZ79501.1			RNA 2'-phosphotransferase			MPAO1_00315	549	182	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	69648	70154	-							MPAO1_00320	507		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	69648	70154	-	QPZ79502.1			DUF1993 family protein			MPAO1_00320	507	168	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	70220	71140	-							MPAO1_00325	921		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	70220	71140	-	QPZ79503.1			LysR family transcriptional regulator			MPAO1_00325	921	306	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	71248	72135	+							MPAO1_00330	888		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	71248	72135	+	QPZ79504.1			MBL fold metallo-hydrolase			MPAO1_00330	888	295	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	72198	72902	+							MPAO1_00335	705		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	72198	72902	+	QPZ79505.1			DsbA family protein			MPAO1_00335	705	234	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	72986	73441	+							MPAO1_00340	456		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	72986	73441	+	QPZ79506.1			OsmC family peroxiredoxin			MPAO1_00340	456	151	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	73552	73785	+							MPAO1_00345	234		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	73552	73785	+	QPZ79507.1			DUF1161 domain-containing protein			MPAO1_00345	234	77	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	73797	74234	-							MPAO1_00350	438		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	73797	74234	-	QPZ79508.1			hypothetical protein			MPAO1_00350	438	145	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	74291	74707	-							MPAO1_00355	417		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	74291	74707	-	QPZ79509.1			hypothetical protein			MPAO1_00355	417	138	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	74799	75926	+							MPAO1_00360	1128		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	74799	75926	+	QPZ85053.1			aminopeptidase			MPAO1_00360	1128	375	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	75934	76917	-							MPAO1_00365	984		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	75934	76917	-	QPZ79510.1			hypothetical protein			MPAO1_00365	984	327	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	76950	77615	-							MPAO1_00370	666		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	76950	77615	-	QPZ79511.1			HAD family hydrolase			MPAO1_00370	666	221	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	77608	78150	-							MPAO1_00375	543		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	77608	78150	-	QPZ79512.1			gamma carbonic anhydrase family protein			MPAO1_00375	543	180	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	78228	80273	+							MPAO1_00380	2046		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	78228	80273	+	QPZ79513.1			oligopeptidase A			MPAO1_00380	2046	681	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	80270	80545	+							MPAO1_00385	276		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	80270	80545	+	QPZ79514.1			YheV family putative metal-binding protein			MPAO1_00385	276	91	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	80634	81692	+							MPAO1_00390	1059		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	80634	81692	+	QPZ79515.1			PA0069 family radical SAM protein			MPAO1_00390	1059	352	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	81922	82836	-							MPAO1_00395	915		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	81922	82836	-	QPZ79516.1			type VI secretion-associated lipoprotein TagQ			MPAO1_00395	915	304	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	82898	84610	-							MPAO1_00400	1713		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	82898	84610	-	QPZ79517.1			type VI secretion protein			MPAO1_00400	1713	570	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	84603	85802	-							MPAO1_00405	1200		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	84603	85802	-	QPZ79518.1			ABC transporter permease			MPAO1_00405	1200	399	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	85802	86521	-							MPAO1_00410	720		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	85802	86521	-	QPZ79519.1			ABC transporter ATP-binding protein			MPAO1_00410	720	239	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	86518	89616	-							MPAO1_00415	3099		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	86518	89616	-	QPZ79520.1			VWA domain-containing protein			MPAO1_00415	3099	1032	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	89624	90352	-							MPAO1_00420	729		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	89624	90352	-	QPZ79521.1			serine/threonine-protein phosphatase			MPAO1_00420	729	242	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	90362	91042	-					tagF		MPAO1_00425	681		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	90362	91042	-	QPZ79522.1			type VI secretion system-associated protein TagF	tagF		MPAO1_00425	681	226	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	91039	94569	-					tssM		MPAO1_00430	3531		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	91039	94569	-	QPZ79523.1			type VI secretion system membrane subunit TssM	tssM		MPAO1_00430	3531	1176	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	94566	95915	-							MPAO1_00435	1350		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	94566	95915	-	QPZ79524.1			DotU family type VI secretion system protein			MPAO1_00435	1350	449	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	95922	97256	-					tssK		MPAO1_00440	1335		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	95922	97256	-	QPZ79525.1			type VI secretion system baseplate subunit TssK	tssK		MPAO1_00440	1335	444	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	97272	97736	-					tssJ		MPAO1_00445	465		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	97272	97736	-	QPZ79526.1			type VI secretion system lipoprotein TssJ	tssJ		MPAO1_00445	465	154	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	97781	99274	-					tagH		MPAO1_00450	1494		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	97781	99274	-	QPZ79527.1			type VI secretion system-associated FHA domain protein TagH	tagH		MPAO1_00450	1494	497	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	99642	100676	+					tssA		MPAO1_00455	1035		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	99642	100676	+	QPZ79528.1			type VI secretion system protein TssA	tssA		MPAO1_00455	1035	344	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	100765	101283	+					tssB		MPAO1_00460	519		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	100765	101283	+	QPZ79529.1			type VI secretion system contractile sheath small subunit	tssB		MPAO1_00460	519	172	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	101296	102792	+					tssC		MPAO1_00465	1497		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	101296	102792	+	QPZ79530.1			type VI secretion system contractile sheath large subunit	tssC		MPAO1_00465	1497	498	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	102868	103356	+					hcp		MPAO1_00470	489		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	102868	103356	+	QPZ79531.1			type VI secretion system tube protein Hcp	hcp		MPAO1_00470	489	162	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	103524	104369	+							MPAO1_00475	846		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	103524	104369	+	QPZ79532.1			tetratricopeptide repeat protein			MPAO1_00475	846	281	
